img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,class_label
92715872-3287-4bff-aa61-7047973e5c02.jpeg,2448,3264,1301,1546,1641,2096,albopictus
b0f7cc74-2272-4756-a387-38bcaf6965c8.jpeg,3024,4032,900,1897,1950,2990,albopictus
82df4b68-0f45-4afe-9215-48488bf3720e.jpeg,768,1024,220,58,659,808,albopictus
331ad30a-7564-4478-b863-7bc760adf5a1.jpeg,3456,4608,1169,2364,1586,2826,albopictus
1a46dbfb-104e-466b-88d7-98958d7b1fe9.jpeg,1024,1365,129,231,697,1007,culex
46f34803-f754-457d-bdb7-e581d3332e85.jpeg,1152,2560,198,798,954,1351,albopictus
5792dd8b-e690-4c3a-b061-a375abaf72e1.jpeg,3072,4080,1104,1030,2458,2911,anopheles
b59baea4-5867-4c79-9f05-c3ba664301e9.jpeg,2128,4608,248,728,2049,1992,albopictus
9637fec0-cf0e-47da-93e7-1ef15af76f27.jpeg,4000,2250,1768,899,2414,1591,albopictus
82e3c220-7fb7-4e01-a1ef-8fcfd95c5421.jpeg,768,1024,180,140,683,744,albopictus
a5a9155f-f3ee-4221-95f0-166f3385857a.jpeg,3168,4224,630,1516,2560,3087,albopictus
616002b9-3f03-4b26-a828-7540688e11cf.jpeg,1600,1375,457,411,789,869,albopictus
e69bcdb6-aee2-40b4-9179-acf6b4219d6d.jpeg,768,1024,186,209,562,669,culex
205731a2-a7b7-413a-ac8d-c0108d720e46.jpeg,3024,4032,131,1420,2146,2814,culex
4febb609-7932-4a1f-8d7c-ee124b312bc9.jpeg,768,1024,272,628,374,735,culex
4eec5b78-33f6-473a-92a1-ebe641d1913c.jpeg,1800,4000,727,1561,1005,1757,culex
3fe250e3-6d2f-4a75-b078-f35fdffd6084.jpeg,1024,1024,347,306,623,643,albopictus
858c7a2d-dc70-444d-b4c9-c6cbd1ae7321.jpeg,924,697,236,172,592,528,albopictus
676e5462-3c94-427d-8f99-8bd51068912b.jpeg,768,1024,284,461,453,698,culex
707723f2-5391-4b44-9255-199233b2c798.jpeg,1024,1820,576,754,801,1143,culiseta
2d61174f-e9ff-46b0-add8-46e66b1840d2.jpeg,1627,2081,672,644,1222,1194,culex
ff4c523d-f063-4767-9e2f-1b407310ec21.jpeg,4032,2268,2227,786,2600,1458,albopictus
2a03943d-4f1f-4589-b885-119bd979bc10.jpeg,3000,4000,1075,1355,1854,2111,albopictus
0b84585e-cc61-468c-8d14-8309a73a2ac1.jpeg,3024,4032,949,796,1857,1633,culiseta
87aa3106-f8cb-4d5e-b636-ee9ea9935283.jpeg,1024,1365,316,646,588,901,culex
2fa4d91d-debe-47dc-9b2e-f24fad21aabf.jpeg,3000,4000,824,1001,1748,2063,culex
75bad1a9-9a9d-4bb8-96c6-08bfada719ce.jpeg,996,995,427,333,628,520,albopictus
fcd44271-4d8a-4727-80df-e857463a5bcb.jpeg,828,1792,342,760,565,1068,culex
ad1d52ca-5aab-495c-ac33-00293a773b22.jpeg,768,1024,276,457,439,675,culex
f162c842-c4d3-48bc-9d31-ec43041baf82.jpeg,1024,1365,432,576,594,734,culex
8d1423f9-7e72-4aec-a51f-96b94fc653e7.jpeg,768,1024,161,251,474,725,japonicus/koreicus
5079b45c-f1e4-4134-aea0-4a880988a5fe.jpeg,1024,1365,370,688,503,841,culex
32f5ca5e-f4b7-47af-8f23-db5a804ed8ed.jpeg,3024,4032,1196,1162,1803,2060,culex
f9798361-760e-4b28-9ab3-3f4dfc9837ee.jpeg,3024,4032,410,767,2233,2464,japonicus/koreicus
1104015d-f0fa-4a65-b08d-0335d258404b.jpeg,3024,4032,869,1017,2019,2588,japonicus/koreicus
5ea5dbb7-a2df-478c-863d-49bf2027da0a.jpeg,3840,5120,1379,965,3603,3155,albopictus
c07e1d05-19bf-4313-a76d-eb89ccb345ef.jpeg,4032,3024,1886,1375,2231,1653,albopictus
2d8bc09c-59ab-4787-a56f-ea6502b74fde.jpeg,2448,3264,546,1233,1487,2302,albopictus
a90ff4cd-0f07-4485-bce2-ccf71718c5ce.jpeg,768,1024,203,341,605,778,culex
eaa5e892-12a8-40cf-b033-e3ddf653bde2.jpeg,1024,1365,210,62,926,1155,culex
f748d056-dd83-4213-95b4-2cdc5de00595.jpeg,2992,4000,204,1917,2164,3891,albopictus
f75fdd06-a917-4773-94dc-0d0434f676b0.jpeg,804,780,273,264,556,472,albopictus
2ca8db27-d82d-4801-a504-0a4d5de29c63.jpeg,2160,3840,796,1601,1519,2508,albopictus
2fd57c5f-fe8d-4b91-b209-d540b8fd3492.jpeg,1932,2576,687,1223,1468,1942,albopictus
5a6ac1a7-5e79-4f41-b7d2-889fb623e5c5.jpeg,1024,768,539,209,649,324,albopictus
f253b89c-6b4b-4192-970e-62a9a468ac88.jpeg,594,890,64,307,344,518,albopictus
a0f5df6f-361f-48b0-950f-41ee10211498.jpeg,768,1024,268,569,416,754,culex
1904befe-3d08-4d38-b640-cc4da5201c5e.jpeg,2448,3264,897,1298,1337,1616,albopictus
9488f7aa-0ba6-49fc-bb1f-adeda0b1d5f7.jpeg,1024,1024,465,380,699,610,culex
b3bb2d8a-b27e-4e1a-93fa-0da4276eb8be.jpeg,363,422,53,48,314,315,culex
72e52078-270e-40d0-ab04-b3f45688d02d.jpeg,271,362,39,9,235,329,albopictus
79a221e2-2d91-49e0-bbb7-3f127ee24e32.jpeg,2250,4000,908,1759,1292,2260,albopictus
ae51a720-bcbb-448f-823f-d819f5779b0b.jpeg,1024,1820,37,414,515,884,culex
ad5aba3e-8ace-49e0-bf14-af2a91ea897f.jpeg,3024,4032,916,1060,2112,1881,culex
c9d1c90d-9871-415a-a898-e2d1084184ab.jpeg,4032,1908,2140,62,3393,920,culex
929541ec-8bc8-42fc-ae8f-6f80e6290827.jpeg,3024,4032,1193,1344,2130,2063,culex
cc343c3a-1057-42c6-8da9-721795e09f33.jpeg,1024,1024,212,34,823,825,culex
01e686e7-ece7-460d-94e8-df2a599fef14.jpeg,1024,1365,255,404,470,638,culex
db3751d3-7286-4fae-9833-82391a07db4e.jpeg,1024,1365,304,417,788,850,culex
fb550c17-6c86-4128-9788-24756ae40890.jpeg,3024,4032,879,1859,1419,2945,culex
b79e0f05-89ce-471b-b078-9c81b7435668.jpeg,768,1024,148,40,768,940,culiseta
940bf9ae-0502-4db0-8fc7-7aabe3b200cf.jpeg,2268,4032,702,1640,1698,2345,culex
93a900b9-1031-4cbc-9f67-f47fecb7d8f4.jpeg,768,1024,288,476,400,590,culex
4633dfdf-2f2c-4834-bd16-ef332a1c5820.jpeg,1024,1365,131,482,536,711,albopictus
e0a95f9f-fd22-4af6-9bf3-b946f2f3d34d.jpeg,3024,4032,1508,1753,2129,2305,culex
da00f974-f2fa-42a0-ada0-a57c97fb1e35.jpeg,3024,4032,1279,1702,1885,2311,culex
0970f8b3-6f66-4605-adaa-7f5c6bd47f71.jpeg,4032,3024,2249,1253,2464,1589,culex
e2a75538-9c6f-4e2a-b563-336028ffbc1d.jpeg,4608,3456,1664,1740,2352,2253,albopictus
ad082286-1ec1-4386-bbcd-34655ed294ff.jpeg,3120,4160,1307,1822,1834,2436,albopictus
250fc834-321a-4aec-824a-1bd79a821185.jpeg,2160,2880,677,1623,1016,1995,albopictus
8f0f9d68-cb7b-4f78-a1bf-553cce89472d.jpeg,613,573,205,112,438,420,albopictus
52c1ed36-36c2-420b-8b0b-8574adde1534.jpeg,3024,4032,1199,1986,1795,2466,culex
d7128117-eebe-4e91-a85a-56a075db16f4.jpeg,2448,3264,811,1326,1751,2504,albopictus
d91ef604-f301-4ac5-b0a2-7f4366c4bd79.jpeg,1600,1200,649,259,1115,819,culiseta
2a7d3567-4169-4962-a28d-7cf6e2c481c8.jpeg,3024,4032,931,2208,1050,2335,albopictus
d6d677a7-9eba-490f-b70b-4be439347694.jpeg,461,346,170,121,269,197,albopictus
4b7bd0e4-6b92-471c-819f-7a19a64527ba.jpeg,2448,3264,759,918,1799,1967,albopictus
c4d97a29-be98-4d15-bbba-465fd43c8a9c.jpeg,1024,1365,520,700,640,908,culex
819d3c6d-dd45-493a-b0e1-ca4d10dad26f.jpeg,1365,1024,246,299,1051,894,culiseta
6eb19ef8-57e0-4bcc-ae25-15de23a79410.jpeg,768,1024,228,370,540,850,culex
97d2c474-9e0b-4252-8d2a-b9745da6b53a.jpeg,2268,4032,539,1611,1264,2358,culex
1349c79a-524b-476a-8e02-99db53b6fdd4.jpeg,1024,1365,290,511,561,993,culex
aa6448d4-afb5-4c9f-b237-d1f06948981d.jpeg,2241,1734,613,625,1342,1274,albopictus
22af42dd-15a8-4720-90fb-3fad42c2e141.jpeg,2129,1024,620,299,1191,730,albopictus
96137699-f71e-48c0-9b97-4e6ff251d2aa.jpeg,2448,3264,659,1005,1459,1800,albopictus
b77d1f24-425a-4f0a-9af3-acfbe2e172ee.jpeg,2322,4128,1002,1772,1614,2542,culex
84f96cc9-a937-4444-a9b3-c830892ce71f.jpeg,2627,2370,227,316,2287,1955,albopictus
6006b604-e30a-4dcc-804f-ad100af525c0.jpeg,3024,4032,1052,1282,1638,1952,albopictus
b844a1ae-91ef-42b7-b8dc-e3e45f5ff528.jpeg,768,1024,304,370,386,499,culex
93d2ba28-576a-488f-8441-1e7e9cb70b54.jpeg,2146,2861,955,1766,1351,2303,culex
8373fe80-7516-44fa-9590-69525d51b16e.jpeg,1200,1600,278,574,802,1276,culex
6b6ce896-829a-4d49-876d-2eb96052760b.jpeg,5312,2988,2983,1187,3610,2085,japonicus/koreicus
05da328a-a044-4899-b4a9-a02602e31525.jpeg,3024,4032,954,1784,1456,2337,albopictus
6367ce96-5504-4824-b0dc-a8dcff77ddd2.jpeg,3000,4000,692,1699,1769,2732,culex
e8b8c5d7-aa80-445a-80c1-d8ba60d00a00.jpeg,3024,4032,973,500,2093,2299,culiseta
632f09ba-dbf1-4801-9958-ef087e845271.jpeg,768,1024,212,507,448,660,culex
e72a969d-5c53-4ac5-853e-cfb6fdb482c4.jpeg,1200,1600,209,402,1015,1091,japonicus/koreicus
3df75189-19ae-4785-9f9c-abfe57b65e8f.jpeg,768,1024,300,520,395,642,culex
61615733-5cbd-4686-a6f4-09e644dc7c0b.jpeg,2128,4608,259,535,1964,2920,albopictus
c45292c4-af34-41ea-89f1-b95ae6f9178b.jpeg,3968,2240,1673,1065,2765,1728,albopictus
8da8d6f5-d91c-4f5a-af01-cea4dba1cb79.jpeg,4608,3456,1220,167,3308,2164,culiseta
bf6807bb-e8f8-4cc6-8b6f-b8c8f168bc94.jpeg,826,1051,210,321,564,708,albopictus
70a3fa7d-d420-4c27-bb9e-053158e2e64c.jpeg,768,1024,308,537,487,674,albopictus
081e4b2a-6f6e-46c8-9dc0-65c5372d9eb5.jpeg,5312,3984,2974,1856,3421,2242,albopictus
6db09835-e248-4b29-8d03-c072801ff3b5.jpeg,768,1024,225,278,592,650,culex
2fa796eb-87af-4d04-b8cc-212657e43f1d.jpeg,1816,4032,668,1884,977,2254,culex
4a45fe8d-a7c7-48bb-a6b9-52c913735665.jpeg,1024,1365,479,585,754,853,culex
2502d6e9-f4f2-413f-ab1e-4e4e04a4c18a.jpeg,768,1024,302,540,422,646,albopictus
b2253bb8-09a7-4ac7-a4c6-d9e7142b8e36.jpeg,3024,4032,116,1717,1719,2854,albopictus
c9b011a7-1cf8-4696-9433-7ef96f3e8360.jpeg,1094,1675,232,443,863,1335,albopictus
9a196ee0-e805-4722-8848-fd8f6546722e.jpeg,768,1024,151,151,664,828,culex
a2e622da-8f11-46a1-ac44-a50be1f2b254.jpeg,1024,1365,345,277,640,590,culex
1a6303ee-946a-40f5-825b-35e73dbc5957.jpeg,1600,1200,398,259,1512,1011,culex
5085bcc9-5054-4238-8084-0c25f749243c.jpeg,768,1024,146,368,656,907,albopictus
3b4a1715-45fe-4933-8176-144cf59d3c97.jpeg,750,1334,134,389,529,816,albopictus
fcf60e1f-7dc3-427b-8978-4e87bf126b46.jpeg,3024,4032,188,879,2315,3004,japonicus/koreicus
2d51a7ca-e0cb-494e-9688-52a98a972e64.jpeg,1024,1365,381,330,584,617,culex
4a520c36-43da-4e9e-a829-115954e5eca8.jpeg,1600,719,737,123,1012,364,culex
3a4868e8-b018-4d9c-92a2-5ce4c9a80a12.jpeg,1908,4032,392,1534,1120,2463,culex
dfc1cf2c-5197-4016-a4b1-4c7e644c56b7.jpeg,680,906,151,0,574,767,albopictus
d49c9a68-86fd-486b-ac31-678d1bf10d7e.jpeg,1356,1513,167,92,1215,1177,culex
5f708f70-30a6-4a3e-a838-3b1b908c4041.jpeg,2610,4640,704,1586,1659,2245,albopictus
0f438ab8-ab3f-4726-9f5c-5c548b4a77e1.jpeg,4608,2592,2292,111,3897,1525,culex
48b27694-2e44-4f45-b09c-ff4c953c4600.jpeg,2448,3264,1015,1216,1363,1607,albopictus
ff69ae5e-84b1-4708-8c7f-07a940f12ffb.jpeg,3024,4032,638,930,1873,2397,albopictus
91268580-ddb8-4be6-bcf3-4e3cbabdfae0.jpeg,1024,1365,260,383,791,1013,culex
